Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,111.629997,113.800003,108.510002,110.589996,110.589996,1687100
2018-10-08,109.470001,109.910004,101.830002,105.000000,105.000000,4200700
2018-10-09,104.980003,108.239998,103.010002,104.180000,104.180000,2164400
2018-10-10,103.510002,103.870003,98.360001,98.449997,98.449997,3449400
2018-10-11,98.750000,103.000000,98.120003,99.089996,99.089996,3428200
2018-10-12,102.250000,105.669998,101.000000,103.540001,103.540001,3047200
2018-10-15,102.550003,102.830002,100.029999,100.959999,100.959999,2462700
2018-10-16,102.930000,106.000000,102.540001,105.910004,105.910004,1652200
2018-10-17,106.000000,106.730003,103.300003,105.849998,105.849998,1578000
2018-10-18,105.510002,106.169998,100.250000,101.269997,101.269997,1983000
2018-10-19,101.970001,102.400002,94.570000,94.800003,94.800003,3147300
2018-10-22,97.339996,97.339996,93.220001,97.000000,97.000000,3737100
2018-10-23,94.330002,97.680000,93.610001,97.089996,97.089996,3097500
2018-10-24,97.230003,97.620003,90.720001,90.739998,90.739998,2781500
2018-10-25,91.519997,94.339996,91.029999,93.639999,93.639999,3206000
2018-10-26,91.000000,92.150002,87.389999,89.910004,89.910004,3576600
2018-10-29,94.199997,97.320000,90.510002,93.099998,93.099998,5727600
2018-10-30,92.730003,96.330002,91.010002,95.459999,95.459999,4439700
2018-10-31,97.779999,101.339996,97.250000,99.839996,99.839996,4303200
2018-11-01,101.029999,103.349998,98.930000,103.019997,103.019997,3078500
2018-11-02,103.410004,105.430000,101.209999,105.430000,105.430000,2972500
2018-11-05,105.290001,105.330002,98.919998,101.139999,101.139999,3277100
2018-11-06,95.570000,98.480003,93.550003,94.940002,94.940002,5794300
2018-11-07,96.800003,103.769997,96.529999,101.739998,101.739998,2958200
2018-11-08,101.970001,103.889999,100.550003,101.730003,101.730003,1471200
2018-11-09,100.459999,101.720001,95.750000,98.540001,98.540001,1863900
2018-11-12,99.360001,99.709999,95.000000,96.360001,96.360001,2382100
2018-11-13,96.779999,98.830002,94.519997,97.470001,97.470001,1572900
2018-11-14,99.589996,101.080002,97.330002,97.760002,97.760002,2385000
2018-11-15,97.559998,102.599998,97.559998,101.639999,101.639999,1266200
2018-11-16,100.680000,101.190002,98.620003,100.519997,100.519997,1343700
2018-11-19,100.320000,100.830002,88.790001,89.269997,89.269997,3259100
2018-11-20,87.379997,90.300003,83.690002,87.870003,87.870003,3344200
2018-11-21,90.440002,93.370003,89.550003,92.660004,92.660004,2312600
2018-11-23,90.820000,93.400002,90.500000,92.570000,92.570000,686300
2018-11-26,95.449997,95.849998,93.720001,95.620003,95.620003,2165700
2018-11-27,94.250000,95.470001,92.290001,92.459999,92.459999,2202100
2018-11-28,95.150002,99.459999,93.839996,99.139999,99.139999,2396700
2018-11-29,99.250000,102.440002,97.730003,101.629997,101.629997,4338900
2018-11-30,108.989998,112.699997,103.830002,111.730003,111.730003,8380100
2018-12-03,114.000000,114.250000,107.790001,110.070000,110.070000,3959000
2018-12-04,107.680000,110.500000,106.629997,108.019997,108.019997,2737100
2018-12-06,105.250000,111.250000,103.589996,111.099998,111.099998,2976500
2018-12-07,110.879997,112.320000,103.650002,105.660004,105.660004,2522000
2018-12-10,104.239998,109.500000,104.239998,108.400002,108.400002,1987700
2018-12-11,110.110001,110.620003,105.040001,106.290001,106.290001,2067700
2018-12-12,106.940002,111.750000,106.820000,109.400002,109.400002,2705000
2018-12-13,109.389999,110.750000,106.099998,107.760002,107.760002,1447000
2018-12-14,105.349998,107.680000,104.199997,105.260002,105.260002,1675600
2018-12-17,104.220001,104.400002,99.379997,100.570000,100.570000,2425500
2018-12-18,101.250000,103.279999,100.750000,102.250000,102.250000,1929000
2018-12-19,102.589996,105.639999,99.440002,100.320000,100.320000,2432400
2018-12-20,99.269997,100.809998,92.349998,96.550003,96.550003,3452300
2018-12-21,96.730003,97.000000,91.199997,91.849998,91.849998,2937900
2018-12-24,90.099998,94.879997,90.080002,92.720001,92.720001,1555200
2018-12-26,93.540001,99.919998,93.510002,99.769997,99.769997,1576700
2018-12-27,97.809998,102.839996,97.400002,102.739998,102.739998,2565600
2018-12-28,103.260002,104.459999,99.870003,102.790001,102.790001,1982300
2018-12-31,103.480003,105.050003,102.300003,104.849998,104.849998,1476800
2019-01-02,102.000000,104.709999,101.709999,103.320000,103.320000,1566800
2019-01-03,101.550003,103.309998,99.489998,100.809998,100.809998,2057500
2019-01-04,102.680000,109.519997,101.559998,108.040001,108.040001,3127000
2019-01-07,109.080002,113.459999,108.190002,112.900002,112.900002,2072300
2019-01-08,114.480003,115.910004,111.250000,115.089996,115.089996,2401900
2019-01-09,115.010002,116.589996,113.870003,115.910004,115.910004,1876200
2019-01-10,115.040001,116.949997,113.580002,116.699997,116.699997,1443500
2019-01-11,116.000000,117.860001,115.000000,117.169998,117.169998,1655700
2019-01-14,115.750000,115.900002,113.440002,114.320000,114.320000,1300200
2019-01-15,114.370003,118.910004,114.290001,117.879997,117.879997,1561000
2019-01-16,118.190002,118.910004,115.059998,116.790001,116.790001,1355500
2019-01-17,116.339996,118.860001,116.000000,118.550003,118.550003,960900
2019-01-18,119.410004,121.360001,119.099998,120.720001,120.720001,1979200
2019-01-22,120.000000,120.360001,118.290001,118.980003,118.980003,1561800
2019-01-23,120.000000,121.650002,117.129997,119.440002,119.440002,1429400
2019-01-24,120.989998,120.989998,117.889999,119.949997,119.949997,890200
2019-01-25,120.669998,122.919998,119.559998,122.059998,122.059998,1142800
2019-01-28,120.379997,120.699997,118.080002,119.550003,119.550003,1062300
2019-01-29,119.320000,120.500000,118.180000,118.209999,118.209999,1125500
2019-01-30,119.800003,123.750000,119.040001,122.779999,122.779999,1484900
2019-01-31,123.410004,127.089996,123.000000,124.839996,124.839996,1783200
2019-02-01,124.760002,127.540001,123.589996,127.300003,127.300003,1385500
2019-02-04,127.459999,130.800003,126.529999,128.830002,128.830002,1544600
2019-02-05,129.070007,131.429993,128.589996,129.559998,129.559998,1325100
2019-02-06,129.160004,130.380005,126.099998,128.210007,128.210007,1131700
2019-02-07,126.769997,128.300003,124.669998,128.210007,128.210007,1408400
2019-02-08,126.480003,131.369995,126.480003,130.889999,130.889999,1293800
2019-02-11,132.639999,134.380005,129.630005,130.919998,130.919998,1415100
2019-02-12,131.970001,134.869995,131.619995,134.270004,134.270004,1793300
2019-02-13,135.000000,135.000000,132.500000,133.809998,133.809998,877200
2019-02-14,133.009995,136.149994,132.160004,134.529999,134.529999,1268200
2019-02-15,134.940002,136.339996,133.809998,136.250000,136.250000,1120500
2019-02-19,136.119995,136.889999,135.449997,136.160004,136.160004,878600
2019-02-20,136.149994,136.449997,132.190002,133.119995,133.119995,1597800
2019-02-21,132.279999,133.119995,131.520004,132.419998,132.419998,1698700
2019-02-22,132.490005,134.649994,132.419998,134.559998,134.559998,941600
2019-02-25,136.889999,136.899994,134.509995,135.399994,135.399994,1429400
2019-02-26,135.619995,137.070007,133.610001,135.970001,135.970001,1213900
2019-02-27,136.869995,139.039993,135.789993,138.449997,138.449997,1605000
2019-02-28,138.949997,138.949997,135.869995,135.880005,135.880005,3425400
2019-03-01,143.000000,143.699997,132.460007,134.649994,134.649994,7171800
2019-03-04,134.440002,134.970001,124.349998,127.910004,127.910004,4969300
2019-03-05,127.220001,128.000000,123.870003,125.309998,125.309998,2539400
2019-03-06,125.000000,126.690002,121.809998,122.709999,122.709999,2128200
